id	lon	lat
AT000002	9.91367660339399	47.0803012509605
AT000003	9.84776510448796	47.1328206155354
AT000005	9.80266826968324	47.1507703925391
AT000007	9.67885004709071	47.2003011781533
AT000008	9.61420301342723	47.2059780232657
AT000010	9.72885268784417	47.2569331019615
AT000011	9.59413234023221	47.2836805980947
AT000014	9.76162479120808	47.3971522669964
AT000015	9.75894227787426	47.4474795913752
AT000016	9.70032228011881	47.4477482395981
AT000018	9.6962391170905	47.4345326593487
AT000019	9.68177277982203	47.4627360272117
AT000021	9.97338920159559	47.3276327858746
AT000022	9.88112158051811	47.3546649390868
AT000023	9.89578380223733	47.3707650670424
AT000027	9.91808157729534	47.502169353252
AT000028	9.87443273784594	47.5282742683969
AT000029	9.77511531674843	47.4761995485126
AT000030	9.74544230600074	47.5361410647591
AT000038	10.7096714702384	47.4970207802604
AT000039	10.6507247787787	47.5515275935905
AT000040	11.2639945082614	47.3895651298763
AT000041	11.2575072650832	47.388433956294
AT000042	11.1127786956703	47.3632553549856
AT000043	10.9118504022388	47.408214559019
AT000044	10.4898100168726	46.9374044723205
AT000048	10.2559496380367	47.1217686563233
AT000049	10.1985270623932	46.9725165768692
AT000050	10.4724228755204	47.0893257430054
AT000051	10.5627265164763	47.1434407882398
AT000052	10.8414798332757	47.3014630133455
AT000054	10.8433885467816	47.0697340327189
AT000060	10.9105501812055	47.1630901984504
AT000062	10.8603477544196	47.2237351669744
AT000065	11.2326724328418	47.2252970797819
AT000067	11.4908382819007	47.0290383184261
AT000068	11.4787248081186	47.0363357255183
AT000069	11.4995652714128	47.0625481474589
AT000071	11.4524460474315	47.1130533623279
AT000072	11.4590172490186	47.1159003316098
AT000074	11.4114191055674	47.2729077650942
AT000075	11.5906275861902	47.296046829951
AT000076	11.6370555937453	47.3062515606548
AT000078	11.9422023890055	47.1568734093399
AT000080	11.8094707683848	47.1226380750577
AT000081	11.8131838103908	47.1492199357677
AT000085	12.0044694175489	47.2111280098257
AT000086	11.8974191259863	47.2369756164713
AT000087	11.8628127429841	47.3465830477493
AT000089	11.8061397794414	47.4919742027172
AT000090	11.8020258304402	47.5163223911956
AT000091	11.8650793419744	47.4547274263483
AT000093	12.1759661971745	47.4341528171975
AT000094	12.1397298893019	47.4205993273927
