basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean
ES000726,5086,DILAR                              ,ES,ES_CEDEX,,-3.55162581,37.06483451,-3.551625810413548,37.06483451468252,957,41.0,46.029,2,-12.265853658536594,1970-10-01,2019-09-30,50,520,15756,3653,2141.0,0.0,15756.0,0.0,D,,572,1,['ES000726'],1.322,1.06,1.347,2.582,0.694,215.154,23.605,0.115,3.988,1.159,3.571,48.056,14.199,0.033,1.305,3.008,2.304,-0.673,0.033,28.179,1.489,2.0,299.626,9.888,4.0,3338.722,2010.148,965.976,20.654,0.264,72.53,0.435,0.188,2,0.821,0.0,90.055,9.944999999999999,0.0,0.0,0.0,9.447,0.498,90.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.872,150.0,30.0,56.136,43.617,34.383,22.0,21.191,1.4,1.452,0.042,0.278,0.0,0.0,0.013,0.093,0.8940000000000001,0.013,1.0,0.0,0.0,0.0,0.0,16.234,,,1.0
DENW1280,2782370000100,Weine,DE,DE_NW,Alme,8.525703328709756,51.54201457659221,8.525703328709753,51.54201457659221,"222,12",143.32,143.029,0,0.2030421434552029,1950-01-11,2021-12-31,72,864,25994,25954,294.0,0.0,25994.0,0.0,B,,1,3,"['DENW1188', 'DENW1197', 'DENW1280']",1.118,0.442,1.285,1.716,0.663,166.314,23.196,0.329,2.665,0.506,1.286,3.948,2.958,0.0,2.524,1.863,0.738,0.014,0.068,15.525,1.171,4.0,208.627,3.647,3.0,617.532,385.871,227.099,5.448,33.341,3.049,0.567,0.13,10,1.019,0.0,0.365,52.489,47.146,0.0,47.146,10.562,41.927,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.163,130.0,30.0,53.792,39.73,38.184,22.085,6.433,1.396,1.11,0.17,0.616,0.026999999999999996,0.342,0.20800000000000002,0.41800000000000004,0.003,0.55,0.0,0.0,0.0,0.0,0.0,6.548,0.0,0.0,15.0
DENI1914,4941115,Lauenbrück F,DE,DE_NI,Weser,9.563536977770587,53.19544701186791,9.563536977770587,53.19544701186791,28.3,96.0,106.018,2,-10.435416666666669,1989-11-01,2017-12-31,29,338,10288,10288,0.0,0.0,10288.0,0.0,B,,204,1,['DENI1914'],1.011,0.475,0.516,1.582,0.724,147.889,18.542,0.319,2.436,0.142,2.0,0.604,2.429,0.0,2.043,1.952,0.956,0.094,0.036,16.368,1.15,4.0,224.206,3.971,3.0,122.466,53.058,27.742,0.663,98.668,0.0,0.554,0.189,11,44.821,0.0,0.0,9.293,90.708,89.006,1.702,9.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.495,130.0,30.0,47.154,85.136,9.786,5.078,3.214,1.685,2.633,0.159,0.611,0.049,0.33,0.432,0.155,0.036000000000000004,0.762,0.0,0.0,0.0,0.0,0.0,4.309,0.0,0.0,8.0
FR003961,L465301001,La Bouzanne Ã  Velles [Forges],FR,FR_EAUFRANCE,La Bouzanne à Velles [Forges],1.626822,46.665907,1.626822,46.665907,121,435.67,437.728,0,-0.47237588082723,1969-05-04,2023-09-30,55,653,19872,10105,1.0,19323.0,186.0,363.0,A,,732,2,"['FR001236', 'FR001237', 'FR003961']",0.588,0.287,2.489,3.357,0.494,139.283,28.27,0.053,2.329,22.731,3.318,101.432,15.968,0.0,2.062,2.415,1.171,-0.031,0.012,18.001,1.178,1.0,235.186,4.37,4.0,434.584,215.381,123.533,2.112,78.513,0.025,0.597,0.226,8,1.187,2.892,22.732,71.178,3.197,0.586,2.611,3.438,67.74,22.732,0.0,0.0,0.0,0.0,0.0,2.892,0.0,0.0,0.0,125.881,130.0,50.0,52.236,41.993,30.648,27.359,6.071,1.384,0.894,0.174,0.668,0.01,0.226,0.637,0.11,0.01,0.863,0.0,0.0,2.0,0.39,0.73,0.865,4.056,7.943,5.0
CZ000279,233500,Brenná,CZ,CZ_CHMU,Ploučnice,14.6279146417376,50.6519381051373,14.6279146417376,50.6519381051373,,396.71,396.71,0,0.0,1980-11-01,2021-12-31,28,326,9923,9192,5113.0,0.0,9923.0,0.0,E,,3,5,"['CZ000275', 'CZ000276', 'CZ000277', 'CZ000278', 'CZ000279']",0.685,0.361,0.82,0.885,0.81,165.72,16.524,0.37,1.324,0.074,1.0,,,0.0,1.874,2.086,1.113,0.295,0.086,16.491,1.169,4.0,235.05,4.022,3.0,997.083,364.183,251.289,4.83,40.493,3.442,0.657,0.181,10,1.089,1.724,1.038,12.088,85.11,23.88,61.23,0.0,12.088,0.946,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,1.724,87.884,130.0,30.0,46.323,72.363,16.632,11.005,4.821,1.593,1.414,0.159,0.577,0.048999999999999995,0.137,0.27,0.476,0.055,0.40700000000000003,0.0,0.0,3.0,1.52,6.22,8.63,0.0,0.0,8.0
DEBY0452,11411104,Oberallgäu,DE,DE_BY,Stillach,10.26687692056857,47.32601346220245,10.26687692056857,47.32601346220245,976.22,34.0,34.027,0,-0.0794117647058853,1957-11-01,2023-08-19,67,748,22031,21611,2002.0,0.0,22031.0,0.0,C,,2,1,['DEBY0452'],5.281,1.073,0.97,3.045,0.655,244.293,9.581,0.818,15.286,1.061,1.422,38.953,13.657,0.0,4.927,1.722,0.35,0.257,0.245,14.851,1.227,4.0,196.679,3.495,1.0,2621.734,1745.03,982.303,30.098,0.525,89.083,0.583,0.06,8,0.596,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.833,130.0,0.0,40.163,33.528,34.444,18.139,12.444,1.204,1.41,0.078,0.298,0.0,0.0,0.0,0.13,0.871,0.0,0.0,0.0,0.0,0.0,0.0,38.117,0.0,0.0,14.0
DEBY0691,56001003,Hof,DE,DE_BY,Sächsische Saale,11.93233236366365,50.26432863747245,11.93269365392271,50.26281121838441,480.18,232.1,334.308,2,-44.0361912968548,1959-11-01,2023-08-19,65,712,20936,19420,2367.0,0.0,20936.0,0.0,D,,63,4,"['DEBY0512', 'DEBY0513', 'DEBY0876', 'DEBY0691']",0.712,0.31,1.653,2.018,0.648,154.944,28.767,0.17,2.091,4.066,2.118,12.564,8.471,0.0,2.245,1.93,0.86,0.098,0.121,16.641,1.178,4.0,221.866,3.973,3.0,850.756,585.782,482.763,3.945,40.305,0.085,0.554,0.167,2,1.108,5.5089999999999995,91.042,3.448,0.0,0.0,0.0,3.448,0.0,91.042,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.499,124.209,130.0,30.0,53.508,49.042,32.2,18.758,7.287,1.4,2.776,0.137,0.554,0.055,0.264,0.301,0.371,0.003,0.565,0.0,0.0,1.0,0.93,4.4,11.036,0.0,0.0,32.0
CZ000356,303000,Věřňovice,CZ,CZ_CHMU,Olše,18.4189954114171,49.9310030786427,18.4189954114171,49.9310030786427,,1075.59,1075.59,0,0.0,1980-11-01,2021-12-31,42,494,15036,15036,0.0,0.0,15036.0,0.0,B,,43,20,"['CZ000345', 'CZ000346', 'CZ000347', 'CZ000348', 'CZ000349', 'CZ000350', 'CZ000351', 'CZ000352', 'CZ000353', 'CZ000354', 'CZ000355', 'CZ000356', 'PL000033', 'PL000034', 'PL000035', 'PL000036', 'PL000037', 'PL000038', 'PL000039', 'PL000040']",1.202,0.482,1.404,2.023,0.544,190.075,33.33,0.271,3.542,5.028,2.226,10.445,5.309,0.0,2.445,2.061,0.843,0.444,0.107,17.008,1.241,4.0,225.662,3.782,1.0,1073.553,391.554,196.383,5.991,42.534,11.31,0.51,0.175,11,9.089,0.195,0.0,10.291,89.35,56.205,33.145,4.605,5.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,102.362,130.0,30.0,47.552,57.048,26.233,16.719,6.646,1.466,1.064,0.15,0.543,0.15700000000000003,0.193,0.316,0.297,0.013,0.509,1.0,1.0,13.0,5.51,32.94,9.836,7.768,0.903,39.0
CH000061,2181,Halden,CH,CH_CAMELS,Thur,9.21,47.51,9.21,47.51,462,1085.0,1085.205,0,-0.0188940092165831,1981-01-01,2020-12-31,40,480,14610,14610,0.0,0.0,14610.0,0.0,B,,1,7,"['CH000034', 'CH000096', 'CH000098', 'CH000122', 'CH000131', 'CH000154', 'CH000061']",2.981,0.841,1.327,2.237,0.519,196.872,26.139,0.551,8.856,3.725,1.296,22.95,6.288,0.0,3.51,1.926,0.549,0.342,0.087,15.811,1.164,4.0,211.266,3.7,1.0,2473.298,910.065,455.794,12.695,13.365,32.321,0.674,0.173,9,2.617,0.0,0.0,73.424,26.534,26.534,0.0,60.103,13.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.113,130.0,0.0,49.391,47.753,33.627,16.228,5.684,1.417,1.333,0.198,0.594,0.07100000000000001,0.138,0.41700000000000004,0.30300000000000005,0.07,0.555,2.0,1.0,0.0,0.0,0.0,15.281,14.079,14.079,6.0
GB000342,4003,Alness at Alness,GB,GB_NRFA,Alness at Alness,-4.26,57.7,-4.26,57.7,11.9,202.38,202.408,0,-0.0138353592252157,1974-01-01,2021-09-30,48,573,17440,17440,0.0,0.0,17440.0,0.0,B,,1037,1,['GB000342'],2.677,0.786,0.885,2.636,0.523,130.83,20.645,0.423,8.576,4.964,1.454,36.734,9.585,0.0,3.222,1.378,0.428,-0.186,0.037,6.016,1.119,2.0,154.391,2.945,4.0,824.081,394.606,16.785,8.287,13.405,10.861,0.507,0.194,2,0.975,31.617,49.196,0.0,18.009,0.0,18.009,0.0,0.0,49.196,0.0,0.0,0.0,0.0,0.0,31.617,0.0,0.0,0.0,104.327,130.0,0.0,110.161,31.12,28.327,34.784,1.933,0.723,16.046,0.116,0.528,0.001,0.021,0.048,0.181,0.28099999999999997,0.069,0.0,0.0,4.0,2.74,46.65,14.341,0.082,0.0,0.0
GB000045,17003,Bonny Water at Bonnybridge,GB,GB_NRFA,Bonny Water at Bonnybridge,-3.89,56.0,-3.89,56.0,23,51.49,51.512,0,-0.0427267430569012,1965-01-01,2021-09-30,57,681,20725,15818,2.0,0.0,20725.0,0.0,B,,930,1,['GB000045'],2.196,0.812,0.98,1.988,0.564,129.607,17.364,0.5,6.778,4.547,1.265,9.834,4.326,0.0,2.674,1.629,0.609,-0.073,0.02,9.92,1.093,1.0,188.102,3.378,3.0,352.284,113.392,25.386,3.069,56.148,0.0,0.782,0.078,10,1.562,9.168,0.0,1.438,89.394,19.597,69.797,0.0,1.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.168,130.0,130.0,130.0,61.388,34.66,35.88,29.46,4.42,1.199,4.373,0.141,0.608,0.214,0.037,0.39,0.182,0.093,0.427,0.0,0.0,0.0,0.0,0.0,5.232,0.082,0.0,1.0
GB000556,69027,Tame at Portwood,GB,GB_NRFA,Tame at Portwood,-2.14,53.42,-2.14,53.42,43,146.01,146.111,0,-0.0691733442914862,1969-12-30,2021-09-30,51,595,17905,15026,998.0,0.0,17905.0,0.0,C,,1134,1,['GB000556'],2.462,0.866,1.02,1.765,0.609,137.156,22.368,0.781,6.908,2.326,1.175,3.101,6.609,0.0,2.788,1.635,0.586,-0.073,0.023,11.107,1.106,1.0,195.202,3.51,3.0,580.883,261.244,44.286,6.38,32.098,8.261,0.519,0.214,10,4.032,0.0,0.0,0.0,100.0,21.608,78.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.728,130.0,30.0,66.746,51.571,29.816,18.612,3.442,1.205,6.727,0.113,0.537,0.28700000000000003,0.005,0.225,0.019,0.14600000000000002,0.23,16.0,15.0,5.0,0.71,4.26,4.799,0.299,0.436,2.0
DENW1031,9284730000100,Ammeloe,DE,DE_NW,Berkel,6.774417728302886,52.08099770056467,6.774417728302886,52.08099770056467,"25,35",351.1,333.654,0,4.968954713756771,1967-01-11,2021-12-02,55,660,19226,16099,824.0,0.0,19226.0,0.0,B,,75,4,"['DENW1031', 'DENW1089', 'DENW1167', 'DENW1253']",0.97,0.45,1.162,2.586,0.525,149.898,22.081,0.187,2.977,3.249,1.379,20.84,2.257,0.0,2.162,2.015,0.932,0.041,0.02,15.797,1.147,4.0,220.777,3.948,3.0,174.188,75.159,28.079,0.954,94.767,0.0,0.464,0.204,11,19.823,0.0,0.0,61.82899999999999,38.171,38.171,0.0,28.032,33.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.132,130.0,50.0,50.993,56.506,27.488,16.006,5.338,1.504,1.398,0.138,0.601,0.086,0.594,0.231,0.088,0.0,0.825,0.0,0.0,0.0,0.0,0.0,2.852,1.322,3.205,14.0
FR004277,O702153002,Le Lot ÃƒÂ  Mende,FR,FR_EAUFRANCE,Le Lot à Mende,3.48833333333333,44.51666666666667,3.489361,44.518277,707,254.0,286.001,1,-12.598818897637788,1983-01-09,2023-09-30,40,461,14013,9781,862.0,13545.0,257.0,211.0,C,,541,5,"['FR004274', 'FR004275', 'FR004276', 'FR004277', 'FR001789']",1.313,0.48,1.512,3.513,0.58,145.417,42.09,0.114,4.139,6.244,3.051,87.921,17.545,0.0,2.978,2.029,0.681,-0.059,0.085,18.75,1.26,1.0,240.575,4.537,4.0,1699.639,1163.113,712.201,10.471,9.863,23.68,0.582,0.149,4,0.987,40.151,29.548,30.301,0.0,0.0,0.0,0.0,30.301,29.548,0.0,0.0,0.0,0.0,0.0,40.151,0.0,0.0,0.0,52.867,130.0,30.0,55.555,48.133,34.65,17.217,9.171,1.32,2.247,0.179,0.62,0.019,0.009,0.229,0.509,0.235,0.23800000000000002,0.0,0.0,0.0,0.0,0.0,6.605,0.476,0.073,4.0
