,basin_id,P,T,evap,Q
212,AT000320,0,0,0,0
213,AT000323,0,0,1,0
214,AT000324,0,0,1,0
215,AT000326,0,0,0,0
216,AT000328,0,0,0,0
217,AT000329,0,0,0,0
218,AT000330,0,0,0,0
219,AT000332,0,0,0,0
220,AT000333,0,0,0,0
221,AT000334,0,0,0,0
222,AT000335,0,0,0,0
223,AT000336,0,0,0,0
224,AT000337,0,0,0,0
225,AT000338,0,0,0,0
226,AT000340,0,0,0,0
227,AT000341,0,0,0,0
228,AT000342,0,0,0,0
229,AT000343,0,0,0,0
230,AT000344,0,0,0,0
231,AT000345,0,0,0,0
232,AT000346,0,0,0,0
233,AT000347,0,0,0,0
234,AT000349,0,0,0,0
235,AT000351,0,0,0,356
236,AT000352,0,0,0,0
237,AT000353,0,0,0,365
238,AT000354,0,0,0,0
239,AT000356,0,0,0,0
240,AT000357,0,0,0,0
241,AT000358,0,0,0,0
242,AT000360,0,0,0,80
243,AT000361,0,0,0,0
244,AT000363,0,0,2,0
245,AT000365,0,0,0,0
246,AT000367,0,0,0,0
247,AT000368,0,0,0,0
248,AT000372,0,0,0,404
249,AT000373,0,0,0,991
250,AT000374,0,0,2,0
251,AT000375,0,0,0,0
252,AT000378,0,0,0,0
253,AT000380,0,0,0,0
254,AT000382,0,0,0,0
255,AT000383,0,0,0,0
256,AT000386,0,0,0,0
257,AT000391,0,0,0,0
258,AT000392,0,0,0,0
259,AT000394,0,0,0,0
260,AT000397,0,0,1,0
261,AT000398,0,0,3,0
262,AT000399,0,0,1,0
263,AT000400,0,0,1,0
264,AT000401,0,0,0,0
265,AT000402,0,0,0,853
266,AT000403,0,0,0,0
267,AT000404,0,0,0,0
268,AT000406,0,0,0,0
269,AT000407,0,0,0,0
270,AT000408,0,0,0,550
271,AT000409,0,0,0,0
272,AT000410,0,0,0,0
273,AT000411,0,0,0,0
274,AT000417,0,0,0,0
275,AT000418,0,0,0,0
276,AT000423,0,0,0,0
277,AT000424,0,0,0,0
278,AT000425,0,0,0,8
279,AT000426,0,0,0,0
280,AT000427,0,0,0,0
281,AT000428,0,0,0,0
282,AT000429,0,0,0,0
283,AT000431,0,0,0,0
284,AT000432,0,0,0,0
285,AT000433,0,0,0,0
286,AT000434,0,0,0,0
287,AT000435,0,0,0,0
288,AT000437,0,0,0,0
289,AT000438,0,0,0,0
290,AT000439,0,0,0,356
291,AT000440,0,0,0,0
292,AT000441,0,0,0,0
293,AT000442,0,0,0,0
294,AT000443,0,0,0,0
295,AT000444,0,0,0,0
296,AT000445,0,0,0,0
297,AT000446,0,0,0,0
298,AT000447,0,0,0,0
299,AT000448,0,0,2,412
300,AT000449,0,0,0,0
301,AT000450,0,0,0,0
302,AT000451,0,0,0,33
303,AT000452,0,0,0,0
304,AT000453,0,0,0,12
305,AT000455,0,0,0,0
306,AT000456,0,0,0,0
307,AT000457,0,0,0,0
308,AT000458,0,0,0,0
309,AT000460,0,0,0,356
310,AT000461,0,0,0,356
311,AT000462,0,0,0,0
312,AT000463,0,0,0,0
313,AT000464,0,0,0,0
314,AT000465,0,0,0,0
315,AT000466,0,0,190,0
316,AT000467,0,0,75,0
317,AT000468,0,0,75,0
318,AT000469,0,0,51,0
319,AT000470,0,0,15,0
320,AT000471,0,0,17,0
321,AT000474,0,0,6,0
322,AT000475,0,0,1,0
323,AT000477,0,0,0,0
324,AT000481,0,0,2,0
325,AT000483,0,0,0,0
326,AT000485,0,0,1,0
327,AT000486,0,0,0,0
328,AT000488,0,0,1,0
329,AT000489,0,0,0,0
330,AT000491,0,0,0,0
331,AT000492,0,0,0,0
332,AT000493,0,0,0,55
333,AT000495,0,0,0,0
334,AT000500,0,0,0,0
335,AT000502,0,0,0,0
336,AT000504,0,0,0,0
337,AT000505,0,0,1,0
338,AT000507,0,0,0,0
339,AT000508,0,0,0,0
340,AT000509,0,0,0,0
341,AT000510,0,0,0,0
342,AT000511,0,0,0,0
343,AT000513,0,0,0,0
344,AT000514,0,0,0,0
345,AT000515,0,0,0,0
346,AT000518,0,0,0,0
347,AT000521,0,0,18,0
348,AT000523,0,0,5,0
349,AT000525,0,0,0,0
350,AT000528,0,0,0,0
351,AT000529,0,0,7,0
352,AT000530,0,0,0,0
353,AT000531,0,0,0,0
354,AT000532,0,0,0,0
355,AT000533,0,0,0,0
356,AT000534,0,0,5,0
357,AT000538,0,0,0,5
358,AT000539,0,0,0,0
359,AT000540,0,0,3,35
360,AT000542,0,0,0,2
361,AT000544,0,0,75,0
362,AT000545,0,0,1,13
363,AT000547,0,0,3,0
364,AT000550,0,0,0,14
365,AT000551,0,0,0,0
366,AT000552,0,0,0,0
367,AT000555,0,0,0,0
368,AT000557,0,0,0,0
369,AT000558,0,0,0,0
370,AT000559,0,0,12,4
371,AT000560,0,0,0,0
372,AT000561,0,0,0,15
373,AT000562,0,0,3,0
374,AT000563,0,0,0,0
375,AT000564,0,0,0,0
376,AT000565,0,0,0,0
377,AT000566,0,0,0,11
378,AT000568,0,0,0,0
379,AT000569,0,0,0,0
380,AT000570,0,0,0,6
381,AT000572,0,0,0,0
382,AT000573,0,0,0,30
383,AT000575,0,0,0,0
384,AT000577,0,0,0,0
385,AT000578,0,0,0,0
386,AT000579,0,0,0,0
387,AT000580,0,0,0,0
388,AT000581,0,0,0,0
389,AT000583,0,0,0,11
390,AT000587,0,0,0,0
391,AT000588,0,0,0,0
392,AT000591,0,0,1,5
393,AT000595,0,0,0,0
394,AT000596,0,0,2,0
395,AT000597,0,0,0,0
396,AT000599,0,0,0,0
397,CH000006,0,0,0,0
398,CH000010,0,0,2,0
399,CH000011,0,0,0,0
400,CH000013,0,0,0,0
401,CH000014,0,0,1,356
402,CH000015,0,0,1,0
403,CH000017,0,0,0,0
404,CH000018,0,0,0,2192
405,CH000019,0,0,0,0
406,CH000024,0,0,0,0
407,CH000025,0,0,9,0
408,CH000028,0,0,0,0
409,CH000029,0,0,0,0
410,CH000030,0,0,3,0
411,CH000031,0,0,0,0
412,CH000032,0,0,3,0
413,CH000034,0,0,0,0
414,CH000037,0,0,1,0
415,CH000038,0,0,0,0
416,CH000039,0,0,0,0
417,CH000040,0,0,0,0
418,CH000041,0,0,0,0
419,CH000043,0,0,0,0
420,CH000046,0,0,0,0
421,CH000048,0,0,0,0
422,CH000049,0,0,0,0
423,CH000051,0,0,0,0
424,CH000053,0,0,0,0
425,CH000054,0,0,0,0
426,CH000056,0,0,0,0
427,CH000057,0,0,0,0
428,CH000059,0,0,0,0
429,CH000060,0,0,0,0
430,CH000061,0,0,0,0
431,CH000062,0,0,0,0
432,CH000063,0,0,0,0
433,CH000064,0,0,0,0
434,CH000066,0,0,0,0
435,CH000067,0,0,0,0
436,CH000070,0,0,0,0
437,CH000071,0,0,0,0
438,CH000074,0,0,0,0
439,CH000075,0,0,0,0
440,CH000077,0,0,1,470
441,CH000078,0,0,0,0
442,CH000080,0,0,2,0
443,CH000083,0,0,2,0
444,CH000084,0,0,0,0
445,CH000087,0,0,0,0
446,CH000088,0,0,1,0
447,CH000089,0,0,0,0
448,CH000090,0,0,0,0
449,CH000093,0,0,0,0
450,CH000096,0,0,0,0
451,CH000097,0,0,5,0
452,CH000098,0,0,0,0
453,CH000099,0,0,0,0
454,CH000100,0,0,0,0
455,CH000102,0,0,0,0
456,CH000103,0,0,39,0
457,CH000104,0,0,0,0
458,CH000106,0,0,1,0
459,CH000107,0,0,0,0
460,CH000108,0,0,0,0
461,CH000110,0,0,1,1
462,CH000111,0,0,1,0
463,CH000112,0,0,3,0
464,CH000113,0,0,0,0
465,CH000115,0,0,0,0
466,CH000117,0,0,0,0
467,CH000118,0,0,0,0
468,CH000119,0,0,0,0
469,CH000120,0,0,0,0
470,CH000121,0,0,0,0
471,CH000122,0,0,0,0
472,CH000123,0,0,0,0
473,CH000124,0,0,0,0
474,CH000125,0,0,0,0
475,CH000127,0,0,1,0
476,CH000128,0,0,0,0
477,CH000129,0,0,0,0
478,CH000130,0,0,0,0
479,CH000131,0,0,0,0
480,CH000132,0,0,0,0
481,CH000133,0,0,0,0
482,CH000134,0,0,0,0
483,CH000135,0,0,0,0
484,CH000136,0,0,3,0
485,CH000137,0,0,0,0
486,CH000138,0,0,0,0
487,CH000140,0,0,0,0
488,CH000142,0,0,0,0
489,CH000143,0,0,0,0
490,CH000144,0,0,0,0
491,CH000147,0,0,0,0
492,CH000148,0,0,0,0
493,CH000149,0,0,0,0
494,CH000150,0,0,0,0
495,CH000152,0,0,0,0
496,CH000154,0,0,0,0
497,CH000155,0,0,0,0
498,CH000156,0,0,0,0
499,CH000158,0,0,17,0
500,CH000159,0,0,0,0
501,CH000160,0,0,0,0
502,CH000161,0,0,0,0
503,CH000162,0,0,0,0
504,CH000164,0,0,0,0
505,CH000165,0,0,0,0
506,CH000166,0,0,0,0
507,CH000167,0,0,0,0
508,CH000168,0,0,0,0
509,CH000169,0,0,5,0
510,CH000170,0,0,0,0
511,CH000171,0,0,0,0
512,CH000172,0,0,0,0
513,CH000173,0,0,0,0
514,CH000174,0,0,0,0
515,CH000176,0,0,0,0
516,CH000177,0,0,0,0
517,CH000181,0,0,0,245
518,CH000193,0,0,0,0
519,CH000194,0,0,0,0
520,CH000200,0,0,0,356
521,CH000230,0,0,0,0
522,CH000231,0,0,0,0
523,CH000232,0,0,0,0
524,CH000233,0,0,0,0
525,CH000234,0,0,0,0
526,CH000235,0,0,0,0
527,CH000236,0,0,0,22
528,CH000237,0,0,0,0
529,CH000238,0,0,0,0
530,CH000240,0,0,0,0
531,CH000241,0,0,0,92
532,CH000242,0,0,0,0
533,CH000243,0,0,0,0
534,CH000244,0,0,0,0
535,CH000245,0,0,0,0
536,CH000246,0,0,0,0
537,CH000247,0,0,0,0
538,CH000249,0,0,0,0
539,CH000250,0,0,0,0
540,CH000252,0,0,0,11
541,CH000254,0,0,0,0
542,CH000255,0,0,0,63
543,CH000256,0,0,0,519
544,CH000258,0,0,0,23
545,CH000264,0,0,0,6
546,CH000267,0,0,0,125
547,CH000269,0,0,0,0
548,CH000270,0,0,0,17
549,CH000272,0,0,3,329
550,CH000274,0,0,0,115
551,CH000275,0,0,0,1868
552,CH000281,0,0,0,299
553,CH000287,0,0,0,0
554,DEBB0002,0,0,0,0
555,DEBB0004,0,0,0,0
556,DEBB0009,0,0,0,0
557,DEBB0022,0,0,0,0
558,DEBB0027,0,0,0,518
559,DEBB0034,0,0,0,699
560,DEBB0036,0,0,0,0
561,DEBB0039,0,0,0,0
562,DEBB0042,0,0,0,0
563,DEBB0044,0,0,0,0
564,DEBB0052,0,0,0,0
565,DEBB0059,0,0,0,0
566,DEBB0068,0,0,0,0
567,DEBB0077,0,0,0,0
568,DEBB0081,0,0,0,334
569,DEBB0088,0,0,0,0
570,DEBB0091,0,0,0,0
571,DEBB0093,0,0,0,0
572,DEBB0095,0,0,0,0
573,DEBB0097,0,0,0,153
574,DEBB0101,0,0,0,304
575,DEBB0102,0,0,0,0
576,DEBB0103,0,0,0,0
577,DEBB0105,0,0,0,0
578,DEBB0115,0,0,0,153
579,DEBB0132,0,0,0,0
580,DEBB0133,0,0,0,365
581,DEBB0136,0,0,0,0
582,DEBB0137,0,0,0,0
583,DEBB0138,0,0,0,0
584,DEBB0139,0,0,0,731
585,DEBB0140,0,0,0,0
586,DEBB0142,0,0,0,0
587,DEBB0143,0,0,0,0
588,DEBB0144,0,0,0,295
589,DEBB0147,0,0,0,0
590,DEBB0153,0,0,0,0
591,DEBW0167,0,0,0,0
592,DEBW0168,0,0,0,0
593,DEBW0170,0,0,0,0
594,DEBW0171,0,0,0,0
595,DEBW0172,0,0,0,0
596,DEBW0173,0,0,0,0
597,DEBW0174,0,0,0,0
598,DEBW0175,0,0,0,0
599,DEBW0176,0,0,0,0
600,DEBW0177,0,0,0,0
601,DEBW0178,0,0,0,92
602,DEBW0179,0,0,0,0
603,DEBW0183,0,0,0,22
604,DEBW0188,0,0,0,0
605,DEBW0191,0,0,0,0
606,DEBW0193,0,0,0,0
607,DEBW0194,0,0,0,0
608,DEBW0195,0,0,0,0
609,DEBW0197,0,0,0,0
610,DEBW0198,0,0,0,0
611,DEBW0199,0,0,0,91
612,DEBW0202,0,0,0,0
613,DEBW0205,0,0,0,295
614,DEBW0206,0,0,0,0
615,DEBW0207,0,0,0,0
616,DEBW0209,0,0,0,0
617,DEBW0211,0,0,0,1461
618,DEBW0213,0,0,0,73
619,DEBW0215,0,0,0,0
620,DEBW0216,0,0,0,0
621,DEBW0218,0,0,0,0
622,DEBW0220,0,0,0,0
623,DEBW0221,0,0,0,0
624,DEBW0222,0,0,0,0
625,DEBW0223,0,0,0,0
626,DEBW0224,0,0,0,0
627,DEBW0225,0,0,0,0
628,DEBW0226,0,0,0,0
629,DEBW0227,0,0,0,0
630,DEBW0230,0,0,0,0
631,DEBW0231,0,0,0,0
632,DEBW0234,0,0,0,0
633,DEBW0235,0,0,0,0
634,DEBW0236,0,0,0,0
635,DEBW0239,0,0,0,46
636,DEBW0240,0,0,0,0
637,DEBW0242,0,0,0,0
638,DEBW0244,0,0,0,0
639,DEBW0245,0,0,0,0
640,DEBW0247,0,0,0,0
641,DEBW0248,0,0,0,0
642,DEBW0249,0,0,0,0
643,DEBW0251,0,0,0,0
644,DEBW0252,0,0,0,0
645,DEBW0255,0,0,0,0
646,DEBW0256,0,0,0,0
647,DEBW0257,0,0,0,0
648,DEBW0259,0,0,0,0
649,DEBW0261,0,0,0,0
650,DEBW0262,0,0,0,0
651,DEBW0266,0,0,0,4
652,DEBW0267,0,0,0,0
653,DEBW0268,0,0,0,0
654,DEBW0269,0,0,0,0
655,DEBW0270,0,0,0,0
656,DEBW0271,0,0,0,0
657,DEBW0272,0,0,0,0
658,DEBW0273,0,0,5,0
659,DEBW0274,0,0,0,0
660,DEBW0275,0,0,0,0
661,DEBW0276,0,0,1,0
662,DEBW0279,0,0,1,0
663,DEBW0280,0,0,0,0
664,DEBW0281,0,0,0,0
665,DEBW0282,0,0,0,0
666,DEBW0283,0,0,1,0
667,DEBW0286,0,0,0,0
668,DEBW0287,0,0,5,0
669,DEBW0288,0,0,0,0
670,DEBW0290,0,0,0,0
671,DEBW0292,0,0,0,0
672,DEBW0293,0,0,0,0
673,DEBW0295,0,0,0,0
674,DEBW0302,0,0,0,0
675,DEBW0304,0,0,0,0
676,DEBW0305,0,0,0,0
677,DEBW0309,0,0,0,0
678,DEBW0310,0,0,0,84
679,DEBW0311,0,0,0,0
680,DEBW0313,0,0,0,0
681,DEBW0314,0,0,0,0
682,DEBW0316,0,0,0,0
683,DEBW0317,0,0,0,0
684,DEBW0318,0,0,0,0
685,DEBW0319,0,0,0,0
686,DEBW0320,0,0,0,0
687,DEBW0321,0,0,0,110
688,DEBW0322,0,0,0,0
689,DEBW0323,0,0,0,0
690,DEBW0324,0,0,0,85
691,DEBW0325,0,0,0,68
692,DEBW0327,0,0,0,0
693,DEBW0328,0,0,0,0
694,DEBW0329,0,0,0,361
695,DEBW0330,0,0,0,0
696,DEBW0331,0,0,0,0
697,DEBW0335,0,0,0,0
698,DEBW0336,0,0,0,0
699,DEBW0337,0,0,0,561
700,DEBW0339,0,0,0,0
701,DEBW0340,0,0,0,0
702,DEBW0341,0,0,0,0
703,DEBW0342,0,0,0,0
704,DEBW0343,0,0,0,263
705,DEBW0344,0,0,0,0
706,DEBW0346,0,0,0,0
707,DEBW0347,0,0,0,0
708,DEBW0356,0,0,0,0
709,DEBW0358,0,0,0,0
710,DEBW0359,0,0,0,0
711,DEBW0360,0,0,0,0
712,DEBW0361,0,0,0,0
713,DEBW0362,0,0,0,0
714,DEBW0363,0,0,0,0
715,DEBW0364,0,0,0,0
716,DEBW0368,0,0,0,0
717,DEBW0369,0,0,0,0
718,DEBW0370,0,0,0,0
719,DEBW0372,0,0,0,0
720,DEBW0373,0,0,0,0
721,DEBW0374,0,0,0,0
722,DEBW0380,0,0,0,0
723,DEBW0381,0,0,0,0
724,DEBW0382,0,0,0,0
725,DEBW0386,0,0,0,0
726,DEBW0387,0,0,0,0
727,DEBW0388,0,0,0,0
728,DEBW0389,0,0,0,0
729,DEBW0392,0,0,0,0
730,DEBY0394,0,0,0,0
731,DEBY0395,0,0,0,0
732,DEBY0397,0,0,0,0
733,DEBY0398,0,0,0,14
734,DEBY0401,0,0,0,0
735,DEBY0402,0,0,0,0
736,DEBY0405,0,0,0,0
737,DEBY0407,0,0,0,0
738,DEBY0408,0,0,0,0
739,DEBY0409,0,0,0,0
740,DEBY0412,0,0,0,0
741,DEBY0413,0,0,0,0
742,DEBY0414,0,0,0,0
743,DEBY0415,0,0,0,0
744,DEBY0417,0,0,0,0
745,DEBY0418,0,0,0,0
746,DEBY0419,0,0,0,0
747,DEBY0420,0,0,0,0
748,DEBY0423,0,0,0,0
749,DEBY0425,0,0,0,0
750,DEBY0428,0,0,0,0
751,DEBY0429,0,0,0,0
752,DEBY0433,0,0,0,0
753,DEBY0437,0,0,0,0
754,DEBY0438,0,0,0,0
755,DEBY0439,0,0,0,0
756,DEBY0443,0,0,0,0
