id	p_estreams_tq.evap_camels	p_t_estreams_q.evap_camels	pt_q_camels.evap_camels	ptq_camels.evap_camels	p_estreams_tq.evap_estreams	p_t_estreams_q.evap_estreams	pt_q_camels.evap_estreams	ptq_camels.evap_estreams
CZ000258	0.900348591814065	0.923344610192007	0.897896490088565	0.92370147595643	0.886675152933436	0.921492289032676	0.880986941638337	0.918007008453352
CZ000266	0.882971380953339	0.877167360609247	0.87803645412456	0.876804957460727	0.875512067611856	0.873071576784325	0.87021239532925	0.878787364073333
CZ000273	0.687473754358427	0.72219549252075	0.690956947539262	0.710410896112673	0.671738699603657	0.715125436933189	0.675786805255097	0.703259837293911
CZ000275	0.862558567953355	0.825085223320666	0.85595113610255	0.832467023593235	0.870040733961049	0.864750564000192	0.861552752964699	0.866789338145903
CZ000276	0.828292936577138	0.825952214636207	0.828743490158196	0.820980762988633	0.837730062146723	0.833886562854708	0.835085689284022	0.832002966386479
CZ000278	0.758463913436216	0.764380495978304	0.750801637096737	0.763190948362322	0.772022762415307	0.765468759800644	0.765409221656075	0.771379272192292
CZ000280	0.81504622229645	0.827900722562417	0.81283359448491	0.828523175283589	0.818259477429767	0.841943133353912	0.814970870722444	0.840658871173092
CZ000281	0.74404185166983	0.726213359760991	0.743947311759494	0.73237761878236	0.754998544210635	0.753641371694356	0.748247859194181	0.756148771709119
CZ000282	0.836051345013689	0.826873899532524	0.825874283783452	0.823373658669085	0.848020501188236	0.851652722363107	0.84172774663319	0.857826533353691
CZ000283	0.778904412451237	0.758271647645805	0.774062835293461	0.755225935557691	0.78550798966932	0.774560796777271	0.780781736110032	0.772562473321788
CZ000284	0.847891415533802	0.837618643595576	0.851787631089321	0.839720064729053	0.87154181414617	0.855570900185174	0.859687635427855	0.855445833895989
CZ000285	0.881887925497659	0.86823276908935	0.870205690317137	0.876226089634472	0.892076402246639	0.894300593032344	0.875109402624748	0.889050643855767
CZ000288	0.864438241228227	0.875743095462545	0.865710602794016	0.878117980133964	0.862727398123994	0.892163499075678	0.864151614513964	0.889875544091668
CZ000289	0.815118551420354	0.789059343770723	0.815981192462859	0.791786918364521	0.824107459349732	0.815335130299845	0.822118239181202	0.812149979456456
CZ000290	0.87543390800921	0.88228857660212	0.872204044600004	0.88375344727663	0.876482655459597	0.887690058192315	0.872387383077689	0.887862885198676
CZ000293	0.676097296811485	0.600420682753217	0.664850757961666	0.626455993922623	0.685173994582263	0.642641135899576	0.67657417685275	0.666044717348113
CZ000294	0.739300517829165	0.601761903954192	0.728980185272816	0.653399143522948	0.732733436128721	0.756483156467383	0.71598054289231	0.773429566917089
CZ000295	0.850152910013633	0.85785419551246	0.843705210185079	0.871257177422907	0.841304716442545	0.862492860861667	0.834985948372239	0.871047889518354
CZ000296	0.891272391249904	0.909169595332121	0.891481411941608	0.910620915603102	0.879295271714893	0.909513829820335	0.878826197319888	0.90786313214532
CZ000299	0.867355196581548	0.916862597790295	0.868068653393661	0.909705276155464	0.872133995690033	0.916235759618741	0.872306620215375	0.91930786935474
CZ000300	0.911821085192807	0.914528826679164	0.911516393934194	0.916425085790047	0.908007064088619	0.923965640007416	0.907979152350447	0.922642184059013
CZ000301	0.871625212485075	0.938986345476758	0.875709679251162	0.942265295442608	0.886886736535656	0.941255197574003	0.883272779122324	0.942720061463836
CZ000302	0.814511134165462	0.943534462939242	0.815414077566601	0.944413393260273	0.800252577496165	0.941505363079244	0.800733359035989	0.943645268339687
CZ000304	0.843620996542115	0.914775391450617	0.834349383059178	0.915046602846536	0.826963617767925	0.911725775450728	0.821586240610057	0.919601504211323
CZ000305	0.919847194137893	0.923839088955963	0.921670214160351	0.920478262590863	0.91929732062924	0.925842834008432	0.91938710361148	0.927315628306022
CZ000306	0.87929486065443	0.91969541543128	0.886007997837118	0.919085624147493	0.878667036356098	0.927949979761643	0.878893540006005	0.927307992120923
CZ000307	0.895623686271704	0.935177047032958	0.899118826930695	0.937385657543364	0.887624208428364	0.944703465014821	0.883487353488242	0.94135652008412
CZ000309	0.928790477592616	0.954812799126257	0.928088495823883	0.954144411944454	0.924876536437811	0.958667069923101	0.928287616793107	0.958986629985207
CZ000310	0.919221498856598	0.916725289966519	0.917394326543084	0.91652130869992	0.91907245035396	0.931445999463698	0.917211740532772	0.933662067029007
CZ000312	0.934906230695385	0.951856267894108	0.933669849848565	0.952704641910006	0.935585001923779	0.957588975470123	0.935847757677007	0.955832941593425
CZ000314	0.755765153820988	0.876448168091746	0.744687894618854	0.891997007731666	0.7258215733706	0.872485940773289	0.718708874965462	0.889271257810077
CZ000315	0.799071708453262	0.916989155774538	0.790802290707791	0.928816366070335	0.776946450467601	0.91937136425262	0.774914402774124	0.927852671061938
CZ000316	0.813962573278749	0.916762339911018	0.810595302445942	0.92018550275924	0.795898406028333	0.915664805698507	0.792770094670271	0.916410930087474
CZ000317	0.727704850311012	0.828738207256777	0.732257497150756	0.826583192907442	0.728026163167123	0.820054012602092	0.73836574397877	0.82589225231016
CZ000318	0.784456713782857	0.89568780212603	0.784580222731944	0.910680567584524	0.814371783384188	0.907300632557371	0.812154295426335	0.913783714694254
CZ000319	0.620598513539747	0.678962346471743	0.615574573101084	0.685137903009688	0.618809862403175	0.678156685093553	0.608818637017895	0.685961250090177
CZ000320	0.457624302802851	0.373689847487022	0.458651875170133	0.380005609668384	0.596135940698295	0.632438551965889	0.594661766811539	0.628868910836497
CZ000321	0.76875801325736	0.798438756844785	0.766574302116811	0.796813232335694	0.764083237989127	0.799773532884341	0.765234378755802	0.800565893725458
CZ000322	0.796538348818957	0.805501560624351	0.80591997014324	0.801499089359195	0.793114221790556	0.814861590371614	0.802053588466251	0.80896421588632
CZ000324	0.899406278175688	0.906624275260791	0.897311622189863	0.910991989131539	0.903295766340028	0.907950517757704	0.895713423243546	0.915684581728232
CZ000325	0.791816906491736	0.832891143830048	0.793252071799947	0.834098180977645	0.782878852784493	0.852547926665954	0.7822134605236	0.848644554210123
CZ000326	0.851079074183551	0.925303393330229	0.852916764479122	0.92474371805497	0.816300318669804	0.918687050431261	0.823251161644978	0.922451243208904
CZ000327	0.847924538570747	0.949245955288848	0.85514862910577	0.948971632581779	0.816274691504434	0.945393576709413	0.819923444026291	0.945346389155959
