id	P_sum_CAM	P_sum_Estr	rel_diff_P	T_mean_CAM	T_mean_Estr	T_diff	Epot_sum_CAM	Epot_sum_Estr	rel_diff_Epot
CH000231	1728.737	1711.7335	-0.983579341449858	7.73768788501027	7.26117316906229	-0.476514715947981	713.105	683.7185	-4.12092188387404
CH000232	1351.9065	1279.3395	-5.36775287344206	7.10733880903491	6.71791375770021	-0.389425051334703	633.1525	681.131	7.57771626898736
CH000233	1072.6515	1096.434	2.2171693229348	8.80436002737851	7.55116769336071	-1.2531923340178	675.722	757.068	12.0383826484856
CH000234	1177.84	1154.2855	-1.99980472729742	7.60317590691307	7.45570431211499	-0.147471594798083	681.826	758.1675	11.1966249453673
CH000235	1177.5055	1213.957	3.095654330277	7.51501848049281	6.96934565366188	-0.545672826830938	658.3405	713.7855	8.4219336346465
CH000236	848.8245	827.2915	-2.5368023660957	8.85366872005476	8.50838056125941	-0.345288158795345	710.207	805.2265	13.3791274938152
CH000237	842.784	821.819	-2.4875887534647	9.10751403148528	8.71063107460643	-0.39688295687885	711.358	811.893	14.1328276339059
CH000238	857.31	822.547	-4.05489262927064	9.09032443531827	8.66508829568789	-0.425236139630389	666.1435	797.3625	19.6983082473971
CH000240	927.808	886.947	-4.4040361798993	9.20116495550992	8.96976043805613	-0.231404517453798	655.7635	791.3435	20.6751366918104
CH000241	977.8195	924.684	-5.43408062530968	8.96535249828884	8.87152224503765	-0.0938302532511965	651.698	780.918	19.8282026337353
CH000242	970.8685	946.3305	-2.52742776184415	8.77380013689254	8.65459274469541	-0.119207392197126	624.623	777.651	24.4992579523969
CH000243	981.981	966.7155	-1.55456164630476	9.14202327173169	9.02800958247776	-0.114013689253936	632.73	789.16	24.7230256191425
CH000245	1505.0985	1531.9255	1.78240826098755	8.49477891854894	8.11901984941821	-0.375759069130732	612.6045	771.2945	25.9041518630699
CH000249	1551.177	1597.603	2.99295309303838	8.08967556468173	7.64512525667351	-0.444550308008214	620.409	760.623	22.6002524141332
CH000250	1668.987	1709.729	2.44112147068852	8.27901163586585	7.9832772073922	-0.295734428473649	592.511	764.5435	29.0344820602487
CH000251	1451.0755	1507.1575	3.86485747984857	8.69282409308693	8.28836413415469	-0.404459958932238	607.3315	780.977	28.5915517308093
CH000252	1774.3885	1812.5735	2.15200898788513	7.9994264202601	7.74736755646817	-0.252058863791923	584.2305	753.7635	29.0181700544562
CH000254	1725.921	1789.1705	3.66468106014124	7.60435044490075	7.25518275154004	-0.349167693360712	622.083	745.174	19.7869094638497
CH000255	1784.651	1818.2855	1.88465419849596	7.3397015742642	7.08575633127995	-0.253945242984257	599.5355	738.236	23.1346600826807
CH000256	1518.07	1310.9025	-13.6467685943336	10.5538562628337	8.85932101300479	-1.69453524982888	735.921	815.025	10.7489798497393
CH000258	1307.9135	1207.6505	-7.66587392820704	10.3330171115674	9.82567008898015	-0.50734702258727	772.9285	864.6025	11.8606054764445
CH000260	1585.86	1506.066	-5.03159169157429	7.69421765913758	7.08400684462697	-0.610210814510609	683.4605	790.8325	15.7100520073947
CH000264	1695.9215	1550.8665	-8.55316711298252	6.16112936344969	6.21924024640657	0.0581108829568784	659.373	740.828	12.3534023989457
CH000267	1658.017	1535.013	-7.41874178612161	6.16112936344969	6.38741546885695	0.226286105407254	665.152	750.718	12.8641272972193
CH000269	1625.023	1519.9245	-6.46750845988025	6.19702532511978	6.5467665982204	0.349741273100616	647.963	750.721	15.8586215570951
CH000270	1191.5115	1238.9485	3.98124566989071	10.1998945927447	9.06887063655031	-1.13102395619439	878.8475	812.982	-7.494531189996
CH000272	1743.5125	1681.089	-3.58032993741084	4.25818754277892	5.39242984257358	1.13424229979466	537.552	632.3415	17.6335498705241
CH000274	1623.988	1479.8255	-8.87706682561693	5.75320328542094	7.21573579739904	1.4625325119781	568.1615	771.5455	35.7968640958601
CH000275	1602.1495	1451.6825	-9.39157051199029	7.37603285420945	7.43430116358658	0.058268309377139	754.1955	756.9515	0.365422493239481
CH000281	1730.428	1578.6505	-8.77109593695894	4.11326214921287	5.96934154688569	1.85607939767283	617.1675	648.0625	5.00593436951881
CZ000095	633.499	627.6915	-0.91673388592563	9.15879945242984	9.20670636550308	0.0479069130732377	633.8755	812.736	28.2169763620774
CZ000098	598.2955	611.167	2.15136165991556	8.97573442847365	9.07868446269678	0.102950034223134	626.152	815.6395	30.2622206748521
CZ000099	1030.799	1080.4095	4.81281995811017	4.88426283367556	5.79013278576318	0.905869952087611	478.0575	691.1065	44.5655595822678
CZ000100	973.7125	1076.4425	10.5503421184384	5.33267488021903	5.94871457905544	0.616039698836413	495.377	702.049	41.7201444556368
CZ000101	975.226	1165.79	19.5404962542016	5.65134154688569	6.39153319644079	0.7401916495551	508.833	712.167	39.9608515957102
CZ000104	730.112	814.071	11.4994685746844	6.94862559890486	6.8990417522245	-0.0495838466803562	557.6865	755.532	35.4761142685003
CZ000105	823.5035	911.556	10.692425715252	6.40809171800137	6.72864476386037	0.320553045859	537.7015	743.132	38.2053053599441
CZ000106	788.6845	805.8945	2.18211464787249	6.94721560574949	7.10114579055441	0.153930184804928	560.707	768.2135	37.0080095308245
CZ000107	925.9645	834.6025	-9.86668495390483	6.34337577002053	6.98761396303901	0.644238193018481	537.098	741.9055	38.1322402987909
CZ000108	831.034	806.38	-2.96666562378916	6.83456399726215	7.10084873374401	0.266284736481862	555.993	763.1795	37.2642281467572
CZ000109	811.31	794.815	-2.03313160197706	7.00544558521561	7.19280492813142	0.187359342915811	562.3435	767.978	36.5674183128284
CZ000110	898.5825	752.983	-16.2032423288902	7.1240219028063	7.58799452429843	0.463972621492129	564.6755	784.6855	38.9622004142202
CZ000120	750.732	719.389	-4.17499187459705	7.57885420944559	7.8306598220397	0.251805612594114	582.734	764.142	31.1304986494696
CZ000126	660.65	587.1105	-11.131385756452	7.98045448323066	8.15373442847365	0.173279945242983	595.3445	781.797	31.3184215189693
CZ000128	1225.937	1259.769	2.75968504091155	4.00961259411362	5.70296372347707	1.69335112936345	447.506	645.934	44.3408579996693
CZ000129	1155.5055	1155.979	0.0409777365836907	3.75611772758385	5.48981930184805	1.7337015742642	437.6235	644.856	47.3540611964394
CZ000130	1249.5595	1255.1525	0.447597733441271	5.54935934291581	6.04062422997947	0.491264887063655	500.722	676.0945	35.0239254516478
CZ000131	1195.3035	1220.2895	2.09034776523286	4.9907241615332	5.91920465434634	0.928480492813141	481.407	667.3275	38.6202319451109
CZ000132	1086.175	1126.915	3.75077680852533	5.70517453798768	6.28379329226557	0.578618754277892	507.3295	694.59	36.9110213382033
CZ000133	942.4605	1001.3805	6.25172089440354	6.98634770704997	7.10406844626968	0.117720739219712	553.681	744.095	34.3905606296766
CZ000135	902.823	901.7915	-0.11425273835513	5.75082819986311	6.22919507186858	0.478366872005475	509.9245	731.8295	43.5172265698157
CZ000136	1048.849	1043.655	-0.495209510615919	5.7995537303217	5.82520054757016	0.0256468172484601	506.5235	686.662	35.5637004008699
CZ000137	881.0265	899.0925	2.05056261077278	6.46631348391513	6.53846132785763	0.0721478439425045	534.2455	730.967	36.8223036038675
CZ000139	857.1925	932.461	8.78081644438095	5.8879794661191	6.18927173169062	0.301292265571526	516.8275	715.4415	38.4294566368856
CZ000140	848.721	878.871	3.55240414694581	6.01482409308693	6.33696098562628	0.322136892539357	520.8105	732.042	40.5582260726311
CZ000141	843.3745	871.6075	3.34762314962095	6.06392197125257	6.37500616016427	0.311084188911704	522.61	734.1895	40.4851610187329
CZ000142	780.729	798.0365	2.21683836516895	6.78603559206023	6.74617385352498	-0.03986173853525	549.728	748.2255	36.1083117469003
CZ000147	621.1875	563.3025	-9.3184424992454	8.03538672142368	8.39039835728953	0.355011635865845	595.0475	784.614	31.8573727307484
CZ000148	659.205	590.5535	-10.4142869061976	7.95183436002738	8.35394250513347	0.402108145106093	591.7755	768.88	29.9276499280555
CZ000151	771.1745	684.979	-11.1771719630252	7.06132922655715	7.23540725530459	0.174078028747433	562.0585	719.426	27.9984200932821
CZ000152	762.1905	687.596	-9.78685774750537	7.52210403832991	7.63229158110883	0.110187542778919	578.089	742.0025	28.3543710397534
CZ000154	687.862	646.6985	-5.98426719312885	7.73668720054757	7.84589733059548	0.109210130047912	587.9155	768.65	30.7415776586942
CZ000156	736.919	640.278	-13.1141957257175	8.00727173169062	8.20339493497604	0.196123203285422	594.406	760.088	27.8735409804073
CZ000159	739.9345	727.515	-1.67845937714758	7.45673511293634	7.78872963723477	0.331994524298426	575.8635	757.1225	31.4760355535643
CZ000160	743.581	699.7615	-5.89303653536063	7.42890622861054	7.74222997946612	0.313323750855578	575.721	751.249	30.4883789196503
CZ000161	740.2865	708.2775	-4.32386650303633	7.49487063655031	7.80257084188912	0.307700205338809	577.618	755.9615	30.875682544519
CZ000162	737.4965	685.9185	-6.99366030889638	7.45036550308008	7.72112251882272	0.270757015742642	575.6515	747.3355	29.8242947338798
CZ000163	736.9475	697.4705	-5.35682663961815	7.51406160164271	7.80437919233402	0.290317590691307	578.1575	754.3985	30.4832160786637
CZ000164	719.315	700.46	-2.62124382224754	7.64155509924709	7.92053388090349	0.2789787816564	581.5295	762.151	31.059731277605
CZ000165	717.5265	697.3185	-2.81634197482601	7.6726379192334	7.93803696098563	0.265399041752224	582.7035	762.7795	30.9035384204832
CZ000168	694.235	655.797	-5.53674188135141	7.83746201232033	8.10596167008898	0.268499657768652	588.198	762.8485	29.6924675024397
CZ000169	684.3935	607.8355	-11.1862546911974	8.06790417522245	8.47534291581109	0.407438740588638	596.8845	778.146	30.3679355051103
CZ000170	687.2105	620.104	-9.76505743145657	8.0591279945243	8.37476112251882	0.315633127994525	595.777	771.498	29.4944249274477
CZ000173	667.7595	640.441	-4.09106871560794	7.92839835728953	8.14314579055442	0.214747433264888	592.0395	773.066	30.576760503311
CZ000179	795.404	804.52	1.14608425403945	6.95015879534565	7.14893908281999	0.198780287474333	552.0885	695.949	26.057507084462
CZ000180	723.645	736.5045	1.77704537445847	7.1673196440794	7.2541697467488	0.0868501026694046	559.677	722.9995	29.1815636518921
CZ000181	716.277	685.467	-4.30140853329088	7.01268583162218	7.17165229295003	0.158966461327857	553.0485	734.104	32.7377255340174
CZ000182	629.045	609.2505	-3.14675420677376	8.12513757700205	8.19478302532512	0.0696454483230653	597.932	799.782	33.7580193065432
CZ000184	623.0675	590.841	-5.17223254302302	7.21871868583162	7.29745242984257	0.0787337440109512	562.164	770.2095	37.0079727623968
CZ000188	703.15	685.8305	-2.46313019981511	8.15258863791923	8.24543052703628	0.0928418891170431	598.147	802.5775	34.1773008976054
CZ000189	656.937	642.8035	-2.15142395693956	8.31147570157426	8.34619712525667	0.0347214236824094	604.1905	815.11	34.9094366760153
CZ000190	648.7735	635.932	-1.9793502663102	8.3606598220397	8.35991101984942	-0.000748802190280173	606.1045	817.7375	34.9169161423484
CZ000192	901.709	951.4955	5.52134890524548	7.97830663928816	7.54289664613279	-0.435409993155374	590.15	766.46	29.8754553926968
CZ000193	743.039	735.175	-1.05835629085419	8.0527871321013	8.08786036960986	0.0350732375085556	594.1125	787.0495	32.4748258957689
CZ000194	756.6625	762.2285	0.735598764310365	8.25988227241615	8.01783572895277	-0.242046543463381	601.3945	793.6565	31.9693645352593
CZ000196	709.832	677.4205	-4.56608042466387	7.82127857631759	8.00449965776865	0.183221081451061	585.924	783.1805	33.6658849953236
CZ000203	654.633	623.86	-4.70080182331169	6.93908966461328	7.02967419575633	0.0905845311430529	550.1275	728.0915	32.3495916855638
CZ000208	537.6935	517.934	-3.67486309579714	8.41358247775496	8.54715811088296	0.133575633127995	604.8325	799.2455	32.1432793376679
CZ000209	586.1155	530.03	-9.56901839313242	8.31874058863792	8.44126488706365	0.122524298425736	601.6825	797.114	32.4808349918769
CZ000210	582.928	521.2415	-10.5821816759531	8.4185749486653	8.63974811772758	0.221173169062286	605.68	811.1175	33.9184883106591
CZ000212	807.355	624.2465	-22.6800478104427	6.84478439425051	7.49233675564682	0.647552361396303	547.7045	754.767753424657	37.8056513000454
CZ000213	688.75	595.5775	-13.5277676950998	7.65478165639973	7.7329787816564	0.0781971252566738	579.4905	767.583	32.4582542768173
CZ000214	705.648	622.6285	-11.7650018139355	7.84433675564682	7.58225735797399	-0.262079397672827	585.3065	761.2485	30.0598062724402
CZ000223	620.944	570.4	-8.13986446442835	9.0696605065024	9.15758658453114	0.0879260780287474	631.368	776.4125	22.9730521660901
CZ000228	592.0185	538.881	-8.97564856503637	9.41722792607803	9.73229295003422	0.315065023956194	644.2595	793.4435	23.1558867195594
CZ000235	531.274	480.035	-9.64455252845047	8.96482135523614	9.05712525667351	0.0923039014373721	625.7995	826.9005	32.1350528404066
CZ000238	619.033	609.137	-1.59862236746669	8.60262422997947	8.83461054072553	0.231986310746064	610.794	810.7635	32.7392705232861
CZ000240	680.92	779.1315	14.4233536979381	7.78924845995893	7.31087063655031	-0.478377823408624	579.6855	719.7715	24.1658623512232
CZ000243	732.5175	738.746	0.850286853215103	6.9357029431896	7.33559069130732	0.399887748117728	549.3355	720.441	31.1477230217235
CZ000245	821.3875	854.5545	4.03792363531219	6.49986995208761	7.02069678302533	0.520826830937715	530.6135	712.9015	34.354195662191
CZ000248	986.458	995.99	0.966285437393183	6.01998357289528	6.46652840520192	0.44654483230664	511.3385	669.4605	30.9231556004486
CZ000251	913.823	940.7515	2.94679604255966	6.38387405886379	6.63547433264887	0.251600273785079	525.7025	687.231	30.7262187263709
CZ000253	1096.0965	1058.3265	-3.44586448364722	4.92396851471595	5.94314715947981	1.01917864476386	472.577	643.246	36.1145379483132
CZ000254	958.376	994.024	3.71962570014274	5.91510472279261	6.20466940451745	0.289564681724847	508.2685	663.22	30.4861505287068
CZ000257	736.096	680.4495	-7.55967971568927	6.60298151950719	6.85059411362081	0.247612594113621	537.4855	718.507	33.6793271632444
